Rentrée scolaire;UAI;IPS;Ecart-type de l'IPS
2023;0291868Y;129.5;34.8
2023;0291873D;113.7;27.9
2023;0292055B;132.4;33.4
2023;0292204N;131.2;35.6
2023;0300042H;105.9;31.4
2023;0300055X;104.8;32.0
2023;0300089J;111.0;28.4
2023;0300098U;111.8;27.6
2023;0300945P;89.3;34.6
2023;0300949U;109.3;32.2
2023;0301096D;95.9;29.4
2023;0301098F;79.8;26.3
2023;0301211D;95.7;34.2
2023;0301214G;123.1;33.9
2023;0301282F;87.2;28.2
2023;0301284H;103.7;36.7
2023;0301354J;113.3;29.7
2023;0301653J;121.3;27.7
2023;0301746K;101.9;30.0
2023;0301816L;106.2;33.0
2023;0310008R;117.3;31.4
2023;0310012V;101.2;30.8
2023;0310037X;95.5;38.9
2023;0311094W;118.9;36.3
2023;0311130K;126.9;27.5
2023;0311144A;132.4;26.7
2023;0311209W;115.0;28.6
2023;0311327Z;99.0;42.8
2023;0311328A;113.3;44.8
2023;0311570N;137.3;30.9
2023;0311630D;74.6;22.3
2023;0311632F;107.3;33.2
2023;0311688S;126.8;44.1
2023;0311722D;125.8;33.9
2023;0311850T;126.1;36.1
2023;0311851U;96.2;32.0
2023;0311965T;142.0;23.2
2023;0312478A;118.8;33.4
2023;0312697N;112.2;33.0
2023;0312799Z;112.8;32.3
2023;0312843X;116.7;33.2
2023;0313080E;92.6;35.9
2023;0320001C;102.2;28.5
2023;0320013R;109.3;32.0
2023;0320014S;122.9;34.8
2023;0320021Z;113.3;31.1
2023;0320029H;103.4;28.9
2023;0320031K;109.3;32.1
2023;0320033M;105.3;30.4
2023;0320740F;124.7;32.3
2023;0330058J;106.9;32.1
2023;0330128K;130.8;37.0
2023;0330167C;112.3;32.9
2023;0331462K;117.5;40.5
2023;0331490R;126.4;27.2
2023;0331620G;124.4;34.4
2023;0331623K;126.8;35.9
2023;0331758G;128.7;36.2
2023;0331884U;89.7;30.0
2023;0332187Y;120.1;32.1
2023;0332248P;92.7;32.7
2023;0332327A;109.5;31.7
2023;0332340P;108.2;31.8
2023;0332347X;95.8;30.5
2023;0332491D;135.8;24.5
2023;0332705L;108.9;31.1
2023;0332723F;105.7;29.9
2023;0332982M;113.3;32.7
2023;0333121N;114.4;31.2
2023;0333133B;110.1;31.3
2023;0340008Z;97.5;28.9
2023;0340025T;99.0;32.0
2023;0340032A;104.3;33.9
2023;0340048T;135.7;36.5
2023;0340051W;93.8;32.0
2023;0340119V;98.2;30.2
2023;0340874R;139.5;25.8
2023;0340883A;113.2;30.4
2023;0341276C;115.5;35.2
2023;0341364Y;82.7;27.7
2023;0341386X;110.1;31.7
2023;0341870Y;113.4;33.6
2023;0342012C;127.8;32.5
2023;0342052W;106.4;30.3
2023;0342132H;81.3;26.5
2023;0350002M;118.1;36.2
2023;0350051R;113.9;33.2
2023;0350052S;95.0;27.9
2023;0350780H;137.1;24.1
2023;0350781J;128.7;29.9
2023;0350839X;129.5;28.0
2023;0350853M;110.5;28.7
2023;0350855P;126.5;29.0
2023;0350864Z;111.2;28.0
2023;0350868D;103.2;25.5
2023;0350874K;115.7;28.1
2023;0350875L;100.6;23.3
2023;0350883V;105.3;27.3
2023;0351796M;109.3;40.6
2023;0351850W;94.0;27.9
2023;0351882F;97.1;28.5
2023;0351997F;103.6;28.1
2023;0352030S;111.3;34.6
2023;0352248D;128.0;35.2
2023;0352260S;124.9;36.2
2023;0352274G;121.9;38.1
2023;0352448W;115.9;33.0
2023;0352541X;117.7;33.9
2023;0352760K;122.9;33.1
2023;0352860U;110.1;32.4
2023;0352957Z;107.2;27.6
2023;0353036K;123.3;26.0
2023;0360028K;99.3;26.7
2023;0360546Y;97.2;28.0
2023;0360658V;94.5;31.8
2023;0370013N;94.5;27.6
2023;0370033K;96.5;33.0
2023;0370034L;97.6;28.0
2023;0370041U;96.0;39.5
2023;0370766G;69.6;22.2
2023;0370994E;104.2;30.5
2023;0370995F;104.8;32.4
2023;0371122U;101.6;32.8
2023;0371159J;101.8;32.4
2023;0371210P;110.4;30.2
2023;0371248F;105.6;32.6
2023;0371327S;121.0;29.8
2023;0371330V;134.0;30.1
2023;0371391L;98.5;35.0
2023;0371397T;128.2;34.7
2023;0371403Z;124.0;33.3
2023;0380025W;134.0;35.3
2023;0380045T;101.1;29.2
2023;0380059H;107.2;31.6
2023;0380067S;115.7;35.1
2023;0380068T;94.7;28.1
2023;0380111P;99.5;35.9
2023;0381696M;135.5;27.2
2023;0381778B;126.5;35.5
2023;0381908T;118.7;36.8
2023;0382032C;72.7;24.9
2023;0382039K;115.4;30.8
2023;0382176J;106.5;35.7
2023;0382268J;117.7;36.2
2023;0382427G;101.7;33.8
2023;0382428H;100.1;35.3
2023;0382579X;143.3;21.0
2023;0382581Z;119.8;30.7
2023;0382663N;120.4;37.6
2023;0382706K;101.5;30.4
2023;0383141H;116.1;31.4
2023;0383253E;101.2;29.7
2023;0383300F;123.7;35.1
2023;0383345E;111.5;33.0
2023;0383370G;89.4;35.4
2023;0390028U;87.7;30.9
2023;0390961H;100.4;33.4
2023;0390962J;104.4;32.1
2023;0400005N;116.9;34.1
2023;0400039A;107.7;31.1
2023;0400648M;89.9;31.9
2023;0400727Y;92.7;30.9
2023;0401015L;106.4;30.7
2023;0410016V;100.7;28.7
2023;0410035R;96.6;28.1
2023;0410595Z;98.1;32.2
2023;0410596A;93.2;28.9
2023;0410677N;120.9;28.6
2023;0410681T;115.0;23.0
2023;0410715E;111.6;35.3
2023;0410793P;84.1;28.5
2023;0420012K;108.1;33.4
2023;0420023X;105.1;31.5
2023;0421059Y;114.4;28.1
2023;0421061A;104.1;22.6
2023;0421176A;65.3;18.2
2023;0421452A;88.2;39.4
2023;0421455D;103.2;30.3
2023;0421487N;102.7;32.5
2023;0421490S;106.5;31.4
2023;0421659A;93.3;25.0
2023;0421678W;82.6;31.5
2023;0421680Y;93.5;35.4
2023;0421689H;64.4;19.8
2023;0421735H;108.7;30.7
2023;0421741P;101.8;27.8
2023;0421799C;114.0;30.7
2023;0421800D;105.7;25.9
2023;0421852K;85.7;32.0
2023;0430010C;96.5;23.1
2023;0430025U;105.8;37.4
2023;0430030Z;112.3;32.4
2023;0430043N;98.5;37.5
2023;0430052Y;108.1;25.6
2023;0430069S;99.5;27.0
2023;0430085J;95.8;20.7
2023;0430086K;111.7;30.5
2023;0430090P;90.9;22.3
2023;0430902X;112.0;26.2
2023;0440013A;94.3;30.6
2023;0440018F;91.6;26.4
2023;0440055W;123.6;40.1
2023;0440066H;110.5;33.7
2023;0440192V;102.2;26.4
2023;0440196Z;104.0;24.5
2023;0440199C;114.3;27.3
2023;0440209N;126.8;27.9
2023;0440224E;105.9;26.1
2023;0440235S;107.9;26.9
2023;0440244B;131.2;28.3
2023;0440289A;110.4;33.5
2023;0440292D;108.8;31.7
2023;0440314C;101.2;37.9
2023;0440422V;134.6;26.9
2023;0440538W;109.1;31.0
2023;0440539X;93.7;24.4
2023;0440540Y;95.7;28.8
2023;0441547T;135.5;33.3
2023;0441548U;115.2;40.0
2023;0441610L;100.6;39.7
2023;0441727N;86.7;25.4
2023;0441862K;94.0;27.9
2023;0441933M;134.4;27.9
2023;0442388G;124.7;31.7
2023;0442625P;110.0;30.4
2023;0442807M;102.9;30.0
2023;0450005L;106.4;34.1
2023;0450063Z;100.6;26.5
2023;0450069F;89.3;27.5
2023;0450784H;94.7;31.8
2023;0450840U;80.1;28.9
2023;0450939B;74.6;27.9
2023;0451038J;95.6;31.4
2023;0451068S;112.4;32.4
2023;0451330B;110.4;31.6
2023;0451334F;128.9;25.3
2023;0451434P;115.8;30.8
2023;0451665R;105.3;28.4
2023;0460008J;106.7;29.4
2023;0460530B;96.8;28.6
2023;0460573Y;103.9;30.0
2023;0460621A;114.8;26.9
2023;0470011G;90.8;27.2
2023;0470031D;104.7;26.9
2023;0470032E;102.0;34.0
2023;0470048X;92.8;26.3
2023;0470067T;102.8;25.9
2023;0470103G;90.4;32.9
2023;0470104H;87.6;28.5
2023;0470678G;88.8;29.7
2023;0471038Y;109.0;26.0
2023;0480001R;109.5;26.7
2023;0480016G;89.6;23.3
2023;0480024R;109.8;24.2
2023;0480607Z;109.9;31.5
2023;0480678B;108.6;23.2
2023;0490034W;91.7;31.5
2023;0490037Z;90.4;31.2
2023;0490042E;81.6;23.2
2023;0490060Z;63.0;19.0
2023;0490061A;98.0;37.3
2023;0490849G;109.5;30.1
2023;0490857R;109.6;29.4
2023;0490862W;114.3;29.5
2023;0490866A;105.1;24.6
2023;0490868C;102.6;27.1
2023;0490871F;97.1;22.3
2023;0490874J;112.4;29.1
2023;0490878N;104.1;28.0
2023;0491648A;87.5;32.6
2023;0491707P;90.1;25.0
2023;0491924A;133.0;28.3
2023;0491928E;111.8;29.7
2023;0491929F;103.6;24.8
2023;0491930G;113.3;26.7
2023;0492004M;123.6;30.2
2023;0492081W;117.8;34.1
2023;0500014U;102.3;26.7
2023;0500035S;90.9;25.5
2023;0500062W;107.1;32.2
2023;0500071F;97.7;26.9
2023;0500075K;105.7;30.4
2023;0500078N;97.2;28.4
2023;0500096H;108.0;34.3
2023;0500139E;104.6;26.1
2023;0501206P;95.8;32.7
2023;0501216A;103.7;28.9
2023;0501241C;96.8;28.1
2023;0501525L;99.7;33.3
2023;0510030F;105.9;29.7
2023;0511108C;74.0;21.8
2023;0511129A;117.4;28.0
2023;0511144S;108.6;24.8
2023;0511178D;120.7;29.7
2023;0511187N;105.5;36.4
2023;0511254L;76.5;28.2
2023;0511799D;129.0;30.4
2023;0511801F;130.8;26.8
2023;0520004X;87.7;26.3
2023;0520006Z;95.2;31.4
2023;0520014H;89.5;26.9
2023;0520040L;96.6;32.5
2023;0520049W;71.6;25.1
2023;0520737U;88.3;32.5
2023;0520822L;84.7;27.5
2023;0530002P;105.1;29.7
2023;0530030V;98.7;29.3
2023;0530053V;104.4;25.9
2023;0530059B;95.6;22.3
2023;0530078X;97.6;32.4
2023;0530779J;103.7;31.8
2023;0530790W;102.5;37.6
2023;0530804L;94.6;23.5
